Country,Region,Happiness Rank 2015,Happiness Score 2015,Standard Error,Economy (GDP per Capita) 2015,Family 2015,Health (Life Expectancy) 2015,Freedom 2015,Trust (Government Corruption) 2015,Generosity 2015,Dystopia Residual 2015,Year 2015,Happiness Rank 2016,Happiness Score 2016,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita) 2016,Family 2016,Health (Life Expectancy) 2016,Freedom 2016,Trust (Government Corruption) 2016,Generosity 2016,Dystopia Residual 2016,Year 2016,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Year
Bhutan,Southern Asia,79.0,5.252999999999999,0.03225,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,1.63794,2015.0,84.0,5.196000000000001,5.138,5.254,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,2016.0,97.0,5.01100015640259,5.07933456212282,4.94266575068235,0.885416388511658,1.3401265144348102,0.495879292488098,0.5015376806259161,0.474054545164108,0.173380389809608,1.14018440246582,2017.0
Azerbaijan,Central and Eastern Europe,80.0,5.212000000000001,0.03363,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,2015.0,81.0,5.291,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,2016.0,85.0,5.234000205993651,5.29928653523326,5.168713876754049,1.1536017656326298,1.15240025520325,0.5407757759094239,0.398155838251114,0.0452693402767179,0.180987507104874,1.7624816894531203,2017.0
Pakistan,Southern Asia,81.0,5.194,0.03726,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.1070900000000004,2015.0,92.0,5.132000000000001,5.038,5.226,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,2016.0,80.0,5.26900005340576,5.35998364135623,5.17801646545529,0.7268835306167599,0.6726906895637509,0.4020477831363679,0.23521526157856,0.315446019172668,0.124348066747189,2.7924892902374303,2017.0
Montenegro,Central and Eastern Europe,82.0,5.192,0.05235,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,2015.0,88.0,5.1610000000000005,5.055,5.267,1.07838,0.74173,0.6353300000000001,0.15111,0.12721,0.1719099999999999,2.25531,2016.0,83.0,5.23699998855591,5.34104444056749,5.132955536544321,1.12112903594971,1.23837649822235,0.6674646735191351,0.194989055395126,0.197911024093628,0.0881741940975189,1.72919154167175,2017.0
Jordan,Middle East and Northern Africa,82.0,5.192,0.0452399999999999,0.90198,1.05392,0.69639,0.4066099999999999,0.14293,0.1105299999999999,1.87996,2015.0,80.0,5.303,5.187,5.419,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,2016.0,74.0,5.33599996566772,5.448410022407769,5.223589908927679,0.9910123944282528,1.23908889293671,0.6045900583267211,0.418421149253845,0.1721704602241519,0.11980327218771,1.79117655754089,2017.0
China,Eastern Asia,84.0,5.14,0.02424,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,1.8604,2015.0,83.0,5.245,5.199,5.291,1.0278,0.79381,0.73561,0.4401199999999999,0.02745,0.0495899999999999,2.17087,2016.0,79.0,5.2729997634887695,5.319278089776629,5.2267214372009,1.08116579055786,1.16083741188049,0.741415500640869,0.4727877080440519,0.028806841000915,0.022794274613261,1.76493859291077,2017.0
Zambia,Sub-Saharan Africa,85.0,5.129,0.06988,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,2015.0,106.0,4.795,4.645,4.945,0.61202,0.6376,0.23573,0.42662,0.11479,0.1786599999999999,2.58991,2016.0,116.0,4.513999938964839,4.64410550147295,4.38389437645674,0.6364067792892459,1.00318729877472,0.2578358948230739,0.461603492498398,0.249580144882202,0.078213550150394,1.82670545578003,2017.0
Romania,Central and Eastern Europe,86.0,5.124,0.06607,1.04345,0.8858799999999999,0.7689,0.35068,0.00649,0.13748,1.93129,2015.0,71.0,5.528,5.4270000000000005,5.629,1.1697,0.7280300000000001,0.67602,0.36712,0.00679,0.12889,2.45184,2016.0,57.0,5.824999809265139,5.91969415679574,5.73030546173453,1.21768391132355,1.15009129047394,0.6851583123207089,0.457003742456436,0.133519917726517,0.00438790069893,2.17683148384094,2017.0
Serbia,Central and Eastern Europe,87.0,5.122999999999999,0.0486399999999999,0.92053,1.00964,0.74836,0.20107,0.02617,0.1923099999999999,2.025,2015.0,86.0,5.1770000000000005,5.083,5.271,1.03437,0.81329,0.6458,0.15718,0.04339,0.2073699999999999,2.27539,2016.0,73.0,5.39499998092651,5.491569656133651,5.298430305719379,1.06931757926941,1.2581897974014298,0.65078467130661,0.208715528249741,0.2201258838176729,0.0409037806093689,1.94708442687988,2017.0
Portugal,Western Europe,88.0,5.102,0.04802,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,1.26462,2015.0,94.0,5.122999999999999,5.03,5.216,1.27607,0.94367,0.7936300000000001,0.44727,0.01521,0.1169099999999999,1.53015,2016.0,89.0,5.19500017166138,5.285041733086111,5.10495861023665,1.3151752948761002,1.36704301834106,0.795843541622162,0.498465299606323,0.095102712512016,0.01586945168674,1.10768270492554,2017.0
Latvia,Central and Eastern Europe,89.0,5.098,0.0464,1.11312,1.09562,0.72437,0.29671,0.06332,0.1822599999999999,1.62215,2015.0,68.0,5.56,5.486000000000001,5.634,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,2016.0,54.0,5.849999904632571,5.9202635382115805,5.77973627105355,1.26074862480164,1.40471494197845,0.638566970825195,0.3257079124450679,0.153074786067009,0.073842726647854,1.9936552047729497,2017.0
Philippines,Southeastern Asia,90.0,5.073,0.0493399999999999,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,2015.0,82.0,5.279,5.16,5.398,0.81217,0.87877,0.47036,0.5485399999999999,0.11757,0.21674,2.23484,2016.0,72.0,5.42999982833862,5.54533505424857,5.31466460242867,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,0.099331893026829,1.9726047515869096,2017.0
Somaliland region,Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
